series,month,segment,actual,predicted,lo80,hi80,lo95,hi95
Firm-wide,2021-01,history,1807900.0,,,,,
Firm-wide,2021-02,history,5022700.0,,,,,
Firm-wide,2021-03,history,5543200.0,,,,,
Firm-wide,2021-04,history,1643000.0,,,,,
Firm-wide,2021-05,history,3695900.0,,,,,
Firm-wide,2021-06,history,4641600.0,,,,,
Firm-wide,2021-07,history,1676400.0,,,,,
Firm-wide,2021-08,history,2260800.0,,,,,
Firm-wide,2021-09,history,3243600.0,,,,,
Firm-wide,2021-10,history,1151900.0,,,,,
Firm-wide,2021-11,history,1411800.0,,,,,
Firm-wide,2021-12,history,1872800.0,,,,,
Firm-wide,2022-01,history,2938100.0,,,,,
Firm-wide,2022-02,history,1902900.0,,,,,
Firm-wide,2022-03,history,1992400.0,,,,,
Firm-wide,2022-04,history,3407900.0,,,,,
Firm-wide,2022-05,history,2985500.0,,,,,
Firm-wide,2022-06,history,2887300.0,,,,,
Firm-wide,2022-07,history,3016000.0,,,,,
Firm-wide,2022-08,history,1896900.0,,,,,
Firm-wide,2022-09,history,3379300.0,,,,,
Firm-wide,2022-10,history,1942000.0,,,,,
Firm-wide,2022-11,history,3448800.0,,,,,
Firm-wide,2022-12,history,3228100.0,,,,,
Firm-wide,2023-01,history,3504700.0,,,,,
Firm-wide,2023-02,history,3650700.0,,,,,
Firm-wide,2023-03,history,5107400.0,,,,,
Firm-wide,2023-04,history,4373600.0,,,,,
Firm-wide,2023-05,history,5086300.0,,,,,
Firm-wide,2023-06,history,3000200.0,,,,,
Firm-wide,2023-07,history,3477300.0,,,,,
Firm-wide,2023-08,history,3771400.0,,,,,
Firm-wide,2023-09,history,3991600.0,,,,,
Firm-wide,2023-10,history,3095900.0,,,,,
Firm-wide,2023-11,history,1929500.0,,,,,
Firm-wide,2023-12,history,4328200.0,,,,,
Firm-wide,2024-01,history,3684300.0,,,,,
Firm-wide,2024-02,history,3719300.0,,,,,
Firm-wide,2024-03,history,5245100.0,,,,,
Firm-wide,2024-04,history,8934100.0,,,,,
Firm-wide,2024-05,history,6903800.0,,,,,
Firm-wide,2024-06,history,4312600.0,,,,,
Firm-wide,2024-07,history,5121800.0,,,,,
Firm-wide,2024-08,history,7162300.0,,,,,
Firm-wide,2024-09,history,5905900.0,,,,,
Firm-wide,2024-10,history,4716700.0,,,,,
Firm-wide,2024-11,history,5327700.0,,,,,
Firm-wide,2024-12,history,5722500.0,,,,,
Firm-wide,2025-01,holdout,3288900.0,7030396.491772107,,,,
Firm-wide,2025-02,holdout,7891500.0,6755808.529166074,,,,
Firm-wide,2025-03,holdout,5605600.0,7793687.240126017,,,,
Firm-wide,2025-04,holdout,11946500.0,7058644.617907719,,,,
Firm-wide,2025-05,holdout,7197000.0,7329708.166300807,,,,
Firm-wide,2025-06,holdout,10202400.0,6327346.278228384,,,,
Firm-wide,2025-07,holdout,5988500.0,6613887.381690678,,,,
Firm-wide,2025-08,holdout,6100200.0,6550470.77776605,,,,
Firm-wide,2025-09,holdout,8117200.0,6736793.727898353,,,,
Firm-wide,2025-10,holdout,7192400.0,6547343.111236676,,,,
Firm-wide,2025-11,holdout,8292500.0,6357357.050910311,,,,
Firm-wide,2025-12,holdout,8080600.0,6722532.841128334,,,,
Firm-wide,2026-01,forecast,,7954830.301880488,4675248.971978206,12083267.53122225,4235231.182658676,13796802.173590295
Firm-wide,2026-02,forecast,,9099122.493922185,5819541.164019903,13227559.723263947,5379523.374700373,14941094.365631992
Firm-wide,2026-03,forecast,,9393538.247130588,6113956.917228306,13521975.47647235,5673939.127908776,15235510.118840395
Agriculture,2021-01,history,205000.0,,,,,
Agriculture,2021-02,history,684300.0,,,,,
Agriculture,2021-03,history,78700.0,,,,,
Agriculture,2021-04,history,169600.0,,,,,
Agriculture,2021-05,history,258700.0,,,,,
Agriculture,2021-06,history,869000.0,,,,,
Agriculture,2021-07,history,311600.0,,,,,
Agriculture,2021-08,history,33600.0,,,,,
Agriculture,2021-09,history,212300.0,,,,,
Agriculture,2021-10,history,46000.0,,,,,
Agriculture,2021-11,history,144800.0,,,,,
