project_id,client_id,sector,region,client_type,delivery_mode,start_date,end_date,duration_months,contract_value_usd,status,team_headcount,billable_hours,margin_pct
PRJ-00007,CLI-0285,Public Sector,EMEA,New,Remote,2021-01-01,2021-02-01,1,255500.0,Completed,2,277,0.2185
PRJ-00026,CLI-0127,Energy & Utilities,APAC,Existing,On-site,2021-01-01,2021-06-01,5,262100.0,Completed,1,787,0.2838
PRJ-00021,CLI-0040,Financial Services,APAC,New,Hybrid,2021-01-02,2021-05-02,4,159900.0,Completed,2,1068,0.3013
PRJ-00017,CLI-0059,Financial Services,North America,Existing,Hybrid,2021-01-02,2021-02-02,1,315900.0,Completed,5,645,0.3405
PRJ-00019,CLI-0122,Energy & Utilities,North America,Existing,Remote,2021-01-03,2021-08-03,7,386000.0,Completed,5,5293,0.2849
PRJ-00022,CLI-0392,Energy & Utilities,EMEA,New,Hybrid,2021-01-04,2021-06-04,5,148000.0,Completed,3,2132,0.3393
PRJ-00002,CLI-0119,Public Sector,North America,Existing,Hybrid,2021-01-04,2021-06-04,5,197100.0,Completed,2,1173,0.245
PRJ-00024,CLI-0233,Technology & Telecom,LATAM,New,On-site,2021-01-05,2021-05-05,4,616800.0,Completed,8,4142,0.373
PRJ-00003,CLI-0349,Manufacturing,LATAM,Existing,On-site,2021-01-09,2021-09-09,8,616000.0,Completed,8,8038,0.269
PRJ-00004,CLI-0183,Financial Services,North America,Existing,Remote,2021-01-09,2021-03-09,2,225300.0,Completed,4,1221,0.2717
PRJ-00011,CLI-0174,Public Sector,APAC,Existing,Remote,2021-01-09,2021-06-09,5,663400.0,Completed,5,3323,0.429
PRJ-00006,CLI-0252,Financial Services,North America,Existing,On-site,2021-01-11,2021-03-11,2,232700.0,Completed,3,937,0.2796
PRJ-00005,CLI-0157,Energy & Utilities,APAC,Existing,On-site,2021-01-12,2021-06-12,5,311400.0,Completed,3,2320,0.1842
PRJ-00013,CLI-0049,Technology & Telecom,North America,New,Hybrid,2021-01-13,2021-05-13,4,298200.0,Cancelled,3,1379,0.313
PRJ-00008,CLI-0052,Healthcare,North America,New,Remote,2021-01-13,2021-06-13,5,221600.0,Completed,2,1345,0.3177
PRJ-00020,CLI-0394,Retail & Consumer,LATAM,New,Hybrid,2021-01-15,2021-05-15,4,235500.0,Completed,2,1114,0.3246
PRJ-00009,CLI-0234,Financial Services,LATAM,Existing,Remote,2021-01-17,2021-06-17,5,250000.0,Completed,3,1970,0.4562
PRJ-00016,CLI-0270,Public Sector,North America,Existing,Hybrid,2021-01-18,2021-05-18,4,276200.0,Completed,3,1628,0.383
PRJ-00010,CLI-0330,Financial Services,EMEA,Existing,Remote,2021-01-18,2021-05-18,4,143100.0,Completed,1,593,0.1297
PRJ-00014,CLI-0368,Public Sector,North America,Existing,Hybrid,2021-01-21,2021-04-21,3,251200.0,Cancelled,3,1114,0.3901
PRJ-00018,CLI-0399,Technology & Telecom,APAC,New,Hybrid,2021-01-23,2021-07-23,6,272400.0,Completed,4,3278,0.4021
PRJ-00023,CLI-0321,Public Sector,EMEA,New,Hybrid,2021-01-23,2021-06-23,5,272400.0,Completed,3,1794,0.3068
PRJ-00012,CLI-0028,Financial Services,North America,New,Hybrid,2021-01-25,2021-08-25,7,1022000.0,Completed,13,11508,0.2628
PRJ-00025,CLI-0268,Public Sector,North America,New,Hybrid,2021-01-25,2021-03-25,2,699200.0,Completed,7,1583,0.3717
PRJ-00015,CLI-0043,Healthcare,LATAM,New,Remote,2021-01-26,2021-08-26,7,245800.0,Cancelled,3,2456,0.3449
PRJ-00001,CLI-0140,Public Sector,EMEA,Existing,On-site,2021-01-27,2021-05-27,4,276700.0,Completed,3,1796,0.291
PRJ-00028,CLI-0114,Manufacturing,APAC,Existing,Remote,2021-02-01,2021-07-01,5,167700.0,Completed,1,575,0.2072
PRJ-00048,CLI-0262,Technology & Telecom,APAC,Existing,Hybrid,2021-02-03,2021-05-03,3,255400.0,Cancelled,3,1287,0.313
PRJ-00045,CLI-0122,Retail & Consumer,EMEA,New,Remote,2021-02-05,2021-09-05,7,103600.0,Completed,1,827,0.1903
PRJ-00033,CLI-0331,Healthcare,APAC,New,Remote,2021-02-07,2021-09-07,7,306400.0,Completed,3,2703,0.2956
PRJ-00044,CLI-0405,Healthcare,EMEA,Existing,Remote,2021-02-08,2021-05-08,3,78400.0,Completed,2,873,0.1976
PRJ-00037,CLI-0005,Technology & Telecom,EMEA,New,Remote,2021-02-10,2021-08-10,6,352100.0,Completed,5,3599,0.3428
PRJ-00046,CLI-0411,Financial Services,APAC,New,On-site,2021-02-10,2021-08-10,6,326700.0,Completed,5,4125,0.2354
PRJ-00029,CLI-0039,Manufacturing,North America,Existing,Remote,2021-02-11,2021-06-11,4,379800.0,Completed,3,1773,0.2668
PRJ-00030,CLI-0243,Financial Services,EMEA,Existing,On-site,2021-02-12,2021-08-12,6,251100.0,Completed,4,2860,0.2708
PRJ-00049,CLI-0359,Manufacturing,APAC,Existing,On-site,2021-02-12,2021-09-12,7,156600.0,Completed,1,973,0.2583
PRJ-00027,CLI-0017,Technology & Telecom,North America,New,Remote,2021-02-13,2021-07-13,5,612000.0,Completed,6,4381,0.2864
PRJ-00040,CLI-0273,Financial Services,APAC,Existing,Hybrid,2021-02-16,2021-06-16,4,327500.0,Completed,4,2064,0.3295
PRJ-00035,CLI-0141,Manufacturing,North America,New,On-site,2021-02-16,2021-05-16,3,219900.0,Completed,1,339,0.1406
PRJ-00043,CLI-0004,Retail & Consumer,APAC,Existing,Remote,2021-02-16,2021-06-16,4,93500.0,Completed,1,627,0.3735
PRJ-00036,CLI-0051,Financial Services,EMEA,New,Hybrid,2021-02-19,2021-03-19,1,212000.0,Completed,5,736,0.2408
PRJ-00050,CLI-0144,Manufacturing,EMEA,Existing,Remote,2021-02-19,2021-04-19,2,324600.0,Completed,6,1510,0.2564
PRJ-00038,CLI-0060,Manufacturing,North America,Existing,On-site,2021-02-19,2021-10-19,8,456200.0,Completed,7,8203,0.2981
PRJ-00041,CLI-0358,Financial Services,EMEA,Existing,On-site,2021-02-20,2021-06-20,4,334800.0,Completed,3,1809,0.1929
PRJ-00034,CLI-0219,Financial Services,APAC,Existing,On-site,2021-02-21,2021-05-21,3,285600.0,Completed,2,808,0.3229
PRJ-00032,CLI-0016,Financial Services,EMEA,New,Hybrid,2021-02-26,2021-05-26,3,177200.0,Completed,3,1244,0.3043
PRJ-00039,CLI-0019,Financial Services,North America,Existing,Remote,2021-02-27,2021-03-27,1,239400.0,Completed,2,278,0.1124
PRJ-00047,CLI-0021,Retail & Consumer,APAC,New,On-site,2021-02-27,2021-03-27,1,84100.0,Completed,1,147,0.2235
PRJ-00031,CLI-0117,Retail & Consumer,North America,Existing,Hybrid,2021-02-27,2021-08-27,6,185200.0,Completed,2,1693,0.302
PRJ-00042,CLI-0386,Public Sector,EMEA,New,Hybrid,2021-02-28,2021-06-28,4,251000.0,Completed,4,1938,0.2688
PRJ-00064,CLI-0335,Energy & Utilities,North America,New,Remote,2021-03-01,2021-08-01,5,397800.0,Completed,3,2288,0.2519
PRJ-00070,CLI-0203,Healthcare,APAC,Existing,Remote,2021-03-01,2021-09-01,6,290100.0,Completed,1,705,0.2791
PRJ-00077,CLI-0136,Healthcare,APAC,New,Remote,2021-03-01,2021-08-01,5,281500.0,Completed,3,2047,0.3035
PRJ-00053,CLI-0022,Energy & Utilities,North America,Existing,Hybrid,2021-03-02,2021-08-02,5,718800.0,Completed,9,6476,0.2163
PRJ-00075,CLI-0395,Public Sector,EMEA,Existing,On-site,2021-03-02,2021-07-02,4,246700.0,Completed,2,1077,0.2681
PRJ-00071,CLI-0414,Healthcare,North America,Existing,Remote,2021-03-03,2021-05-03,2,283200.0,Completed,2,475,0.3671
PRJ-00057,CLI-0240,Energy & Utilities,APAC,Existing,Remote,2021-03-03,2021-07-03,4,683700.0,Completed,7,4225,0.4058
PRJ-00073,CLI-0320,Public Sector,North America,Existing,Remote,2021-03-04,2021-07-04,4,339200.0,Completed,3,1415,0.2642
PRJ-00069,CLI-0042,Retail & Consumer,EMEA,Existing,Hybrid,2021-03-06,2021-07-06,4,127100.0,Completed,1,486,0.186
PRJ-00063,CLI-0233,Healthcare,North America,New,Hybrid,2021-03-06,2021-08-06,5,174900.0,Completed,3,2070,0.2707
PRJ-00056,CLI-0064,Financial Services,North America,Existing,Hybrid,2021-03-06,2021-09-06,6,394900.0,Completed,4,2710,0.3344
PRJ-00079,CLI-0388,Healthcare,EMEA,Existing,On-site,2021-03-06,2021-07-06,4,529700.0,Completed,6,3773,0.2621
PRJ-00076,CLI-0400,Manufacturing,North America,Existing,On-site,2021-03-06,2021-10-06,7,275900.0,Completed,3,2886,0.1994
PRJ-00055,CLI-0136,Public Sector,North America,New,Hybrid,2021-03-07,2021-04-07,1,272600.0,Completed,2,246,0.2998
PRJ-00058,CLI-0386,Financial Services,APAC,Existing,Hybrid,2021-03-07,2021-06-07,3,324500.0,Completed,6,2318,0.2155
PRJ-00085,CLI-0120,Retail & Consumer,EMEA,New,Hybrid,2021-03-08,2021-08-08,5,169900.0,Completed,2,1369,0.1324
PRJ-00084,CLI-0009,Retail & Consumer,North America,New,Hybrid,2021-03-09,2021-05-09,2,277800.0,Completed,2,605,0.2068
PRJ-00054,CLI-0048,Technology & Telecom,APAC,Existing,Remote,2021-03-09,2021-06-09,3,370000.0,Cancelled,4,1614,0.1706
PRJ-00083,CLI-0177,Public Sector,EMEA,Existing,Hybrid,2021-03-10,2021-07-10,4,301900.0,Completed,3,1588,0.2802
PRJ-00072,CLI-0228,Technology & Telecom,North America,New,Hybrid,2021-03-12,2021-06-12,3,255900.0,Completed,2,905,0.2327
PRJ-00062,CLI-0250,Public Sector,APAC,Existing,Hybrid,2021-03-13,2021-08-13,5,203500.0,Completed,1,567,0.3497
PRJ-00081,CLI-0144,Retail & Consumer,APAC,New,Remote,2021-03-15,2021-08-15,5,243500.0,Completed,3,1715,0.1817
PRJ-00059,CLI-0174,Healthcare,EMEA,Existing,Remote,2021-03-15,2021-10-15,7,449000.0,Completed,5,4483,0.2859
PRJ-00068,CLI-0197,Healthcare,North America,New,Remote,2021-03-15,2021-09-15,6,217400.0,Completed,3,2131,0.3036
PRJ-00074,CLI-0174,Manufacturing,North America,Existing,Hybrid,2021-03-19,2021-08-19,5,196200.0,Completed,3,2262,0.3805
PRJ-00065,CLI-0084,Technology & Telecom,APAC,Existing,Remote,2021-03-20,2021-05-20,2,299800.0,Completed,1,304,0.2822
PRJ-00082,CLI-0278,Healthcare,EMEA,Existing,Hybrid,2021-03-22,2021-09-22,6,223300.0,Completed,5,4372,0.2723
PRJ-00080,CLI-0266,Financial Services,EMEA,New,Hybrid,2021-03-23,2021-08-23,5,284200.0,Completed,2,1452,0.3573
PRJ-00060,CLI-0134,Financial Services,EMEA,Existing,Remote,2021-03-24,2021-10-24,7,702900.0,Completed,7,5829,0.2035
PRJ-00078,CLI-0065,Healthcare,APAC,Existing,Remote,2021-03-24,2021-08-24,5,117800.0,Completed,1,640,0.2461
PRJ-00051,CLI-0201,Manufacturing,EMEA,Existing,Remote,2021-03-25,2021-10-25,7,397400.0,Completed,4,3383,0.3354
PRJ-00061,CLI-0007,Energy & Utilities,EMEA,Existing,Hybrid,2021-03-26,2021-12-26,9,425700.0,Completed,4,5504,0.2831
PRJ-00066,CLI-0240,Manufacturing,APAC,Existing,On-site,2021-03-27,2021-05-27,2,328800.0,Completed,3,890,0.2572
PRJ-00052,CLI-0182,Public Sector,EMEA,Existing,Hybrid,2021-03-27,2021-10-27,7,327900.0,Completed,2,1601,0.1176
PRJ-00067,CLI-0159,Public Sector,North America,Existing,Hybrid,2021-03-28,2022-01-28,10,670900.0,Completed,7,8880,0.5025
